"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-tandem_repeat","DNA-LINE-RC-tandem_repeat-Unknown","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-RC-tandem_repeat","DNA-LTR-RC-Unknown","DNA-LTR-tandem_repeat","DNA-LTR-tandem_repeat-Unknown","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-tandem_repeat","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-Simple-tandem_repeat","LINE-Simple-tandem_repeat-Unknown","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","Satellite","Satellite-tandem_repeat","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-Unknown","Unknown"
"Scaffold_22",541229,81.9396225996759,0.182917027727635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0129335272130651,NA,0.0478540506883408,2.40655988500247,0.00184764674472358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00646676360653254,NA,NA,8.37057881229572,NA,NA,NA,NA,NA,NA,NA,0.200284907128036,NA,0.0530274615735668,0.102359629657686,0.0306709359624115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75732083831428,0.237976900720397,1.64957901368921
"Scaffold_393",16421,12.6971560806285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.8940990195481,NA,NA,NA,NA,NA,NA,NA,4.73174593508312,NA,0.66987394190366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.365385786492905,1.10833688569515,21.5334023506486
"Scaffold_225",504029,66.8306783935051,1.07097012275087,0.000992006412329449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0412674667529051,NA,NA,NA,0.0355138295613943,0.0351170269964625,0.167252281118745,10.1313614891207,0.0265857718504292,NA,0.0019840128246589,NA,0.00734084745123792,0.154157796475996,0.0121024782304193,NA,NA,NA,NA,0.0406722629055074,0.00932486027589682,0.108922304073774,12.0647819867508,0.0154753000323394,0.0059520384739767,NA,0.00357122308438602,NA,NA,NA,0.370811996928748,0.0874949655674574,0.716427030984328,1.21421584869125,0.0400770590581098,NA,0.099002239950479,NA,NA,NA,NA,NA,NA,NA,NA,3.54860533818491,0.26308010054977,2.89626192143706
"Scaffold_38",103422,22.5135851172865,1.9608980681093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.122797857322427,NA,0.304577362650113,12.3735762216936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0628492970547852,NA,0.150838312931485,24.9927481580321,0.028040455609058,1.417493376651,NA,NA,NA,NA,NA,11.1746050163408,1.04136450658467,2.48689833884473,7.17835663591886,0.200150838312931,NA,0.0705845951538357,NA,NA,NA,NA,NA,NA,NA,NA,2.79437643828199,1.84776933341069,9.27849006981107
"Scaffold_164",5743958,79.2568643433674,0.752059816593366,0.0004874687454191,NA,NA,NA,0.000452649549317735,0.000783431912280696,NA,NA,NA,0.00590185373918124,0.00137535824600389,NA,NA,0.000661564725925921,NA,3.48191961013642e-05,0.000870479902534106,0.0159646014124755,NA,0.000104457588304093,0.0193246538362572,0.0191853770518517,0.0327648635313838,0.163615402480311,2.86850983241869,0.0163824317656919,NA,0.00285517408031187,0.000174095980506821,0.00668528565146194,0.0435762239208574,0.00614558811189079,3.48191961013642e-05,NA,NA,NA,0.0608987739812861,0.00154945422651071,0.0227891638483429,6.77992422646544,0.0328693211196878,0.00403902674775825,0.00144499663820662,0.0408080978307989,NA,NA,NA,0.359978258893954,0.0263581314487327,0.317638116434695,0.795757907700579,0.048033081021832,0.00207174216803117,0.0319814316191031,NA,NA,NA,NA,0.0045787242873294,0.00203692297192981,NA,NA,5.51128681651224,0.263859868056138,2.47728134502376
"Scaffold_50",508978,71.2810769817163,0.98255720286535,0.00196472146143841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000196472146143841,NA,NA,NA,NA,NA,NA,0.0697476118810636,NA,0.104130237456236,1.41715359013553,0.0451885936130835,NA,0.0231837132449733,NA,0.0306496547984392,NA,NA,NA,NA,NA,NA,0.601204767200154,NA,NA,13.0217809021215,0.0192542703220964,NA,NA,0.000785888584575365,NA,NA,NA,0.459155405538157,0.0245590182679801,1.16016802297938,2.53842012817843,0.120044481293887,0.2025627826743,0.172502544314293,NA,NA,NA,NA,NA,NA,NA,NA,4.75659065814239,0.201973366235869,2.76514898482842
"Scaffold_336",240080,77.5595634788404,0.0516494501832722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00624791736087971,0.917194268577141,0.0962179273575475,NA,0.0245751416194602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.4921692769077,NA,NA,NA,NA,NA,NA,NA,0.619793402199267,0.0324891702765745,0.465678107297567,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.75383205598134,0.439020326557814,1.54156947684105
"Scaffold_119",135779,54.2278260997651,0.66726076933841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000736490915384559,NA,NA,NA,NA,NA,0.000736490915384559,NA,NA,NA,NA,0.00515543640769191,0.15024414673845,0.422745785430737,0.47503664042304,0.19222412891537,NA,0.0213582365461522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00441894549230735,29.99138305629,0.1001627644923,0.0287231456999978,NA,0.427901221838429,NA,NA,NA,1.37944748451528,0.0854329461846088,2.92755138865362,4.01829443433815,0.178230801523063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79409186987678,0.0640747096384566,2.83696300606132
"Scaffold_116",27208793,93.0389745697283,0.189203541663903,1.47011298884151e-05,3.67528247210378e-06,NA,NA,NA,NA,NA,NA,NA,NA,4.04281071931416e-05,NA,NA,NA,NA,NA,NA,0.00123121962815477,NA,NA,0.000863691380944388,0.001947899710215,0.00141498375175995,0.0075821077399501,0.249981687905083,0.00201037951224077,NA,0.000205815818437812,NA,0.000191114688549396,0.00242568643158849,0.000591720478008708,3.67528247210378e-06,NA,NA,NA,0.00327467668264447,3.67528247210378e-05,0.00509394150633584,0.158698697145441,0.0105480606949378,0.000779159884086001,0.000948222877802775,0.014024877913548,7.35056494420756e-06,0.000246243925630953,0.000198465253493604,0.00764091225950376,0.00129369943018053,0.0179096514865617,0.0629171606399446,0.0153920829931706,0.00170533106705615,0.00528138091241313,NA,NA,0.0123158715640198,0.00131207584254105,0.00302475747454141,0.0077805729934437,4.77786721373491e-05,NA,5.65849797159323,0.0514613051743971,0.462876100384166
"Scaffold_371",14466,11.0396792478916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.3900179731785,0.753490944283147,NA,0.241946633485414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.152080741048,NA,NA,NA,NA,NA,NA,NA,2.93101064565187,0.262684916355592,1.92866030692659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.3004285911793,NA,NA
