"seqnames","seqlengths","nonrepeat","DNA","DNA-LINE","DNA-LINE-LTR","DNA-LINE-LTR-tandem_repeat","DNA-LINE-LTR-tandem_repeat-Unknown","DNA-LINE-LTR-Unknown","DNA-LINE-RC","DNA-LINE-RC-Unknown","DNA-LINE-tandem_repeat","DNA-LINE-tandem_repeat-Unknown","DNA-LINE-Unknown","DNA-LTR","DNA-LTR-RC","DNA-LTR-tandem_repeat","DNA-LTR-Unknown","DNA-RC","DNA-RC-tandem_repeat","DNA-RC-tandem_repeat-Unknown","DNA-RC-Unknown","DNA-tandem_repeat","DNA-tandem_repeat-Unknown","DNA-Unknown","LINE","LINE-LTR","LINE-LTR-RC","LINE-LTR-RC-tandem_repeat","LINE-LTR-RC-tandem_repeat-Unknown","LINE-LTR-RC-Unknown","LINE-LTR-tandem_repeat","LINE-LTR-tandem_repeat-Unknown","LINE-LTR-Unknown","LINE-RC","LINE-RC-tandem_repeat","LINE-RC-tandem_repeat-Unknown","LINE-RC-Unknown","LINE-rRNA","LINE-tandem_repeat","LINE-tandem_repeat-Unknown","LINE-Unknown","LTR","LTR-RC","LTR-RC-tandem_repeat","LTR-RC-tandem_repeat-Unknown","LTR-RC-Unknown","LTR-Simple","LTR-Simple-tandem_repeat","LTR-Simple-tandem_repeat-Unknown","LTR-Simple-Unknown","LTR-tandem_repeat","LTR-tandem_repeat-Unknown","LTR-Unknown","RC","RC-tandem_repeat","RC-tandem_repeat-Unknown","RC-Unknown","rRNA","rRNA-tandem_repeat","Simple","Simple-tandem_repeat","Simple-tandem_repeat-Unknown","Simple-Unknown","tandem_repeat","tandem_repeat-tRNA","tandem_repeat-Unknown","tRNA","Unknown"
"Scaffold_116",27208793,92.6193932968655,0.163619900375588,0.000294022597768302,NA,NA,NA,NA,NA,NA,5.88045195536605e-05,0.000279321467879887,0.00203243120707339,2.57269773047265e-05,2.57269773047265e-05,NA,4.77786721373491e-05,0.0016502018299746,4.41033896652454e-05,0.000510864263622425,0.00134882866726209,0.00133780281984578,0.0039913567647047,0.0158478180197115,0.221222602560871,0.00128267358276422,0.00130472527759684,0.000224192230798331,NA,0.000294022597768302,0.000154361863828359,NA,0.00127899830029212,0.00450957159327134,0.000268295620463576,0.000305048445184614,0.00378554094626689,NA,0.00267560563969155,0.000191114688549396,0.0209417595260473,0.472637650630074,0.0105443854124657,0.00317544405589766,0.00151421637850676,0.00218311778842964,4.41033896652454e-05,0.00178986256391454,0.00267193035721945,0.000349151834849859,0.0213938192701161,0.00964394120680032,0.0346101350398013,0.135639974915462,0.0264032292795935,0.0051564213083616,0.0141792397773764,0.0046639334570997,NA,0.0083612676240361,0.00304313388690193,0.000731381211948652,0.000257269773047265,5.56467903592783,NA,0.106958070503164,0.000705654234643926,0.499717131884534
"Scaffold_406",8805910,96.4600137861959,0.165286722212696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000897124771886154,0.00111288895752966,NA,0.012957207148381,0.00627987340320308,0.0875889033614925,0.000760852654637624,NA,NA,NA,NA,NA,NA,0.00395189140020736,NA,NA,NA,NA,NA,0.00174882550468946,NA,0.00878955156253016,0.0915748627910119,0.0177380872618503,0.00400867144906092,0.000863056742574021,0.0012605170845489,NA,NA,0.000613224527618384,NA,0.00488308420140565,0.00383833130250025,0.0075631025072934,0.110516687088558,0.0340339612828203,0.00154441732881667,0.0015784853581288,NA,NA,0.00673411379403151,0.000306612263809192,0.000601868517847673,0.000261188224726349,2.47898286491686,NA,0.0752562767505005,NA,0.408452959432926
"Scaffold_127",330409,49.7795156911585,0.913110720349627,0.00363186232820535,NA,NA,NA,NA,NA,NA,0.00211858635811978,0.0511487277888919,0.0223964843572663,0.000302655194017112,0.00121062077606845,NA,NA,0.0329894161478652,NA,NA,NA,NA,0.0402531408042759,0.0575044868632513,7.7007587565714,0.425230547594043,NA,NA,NA,NA,0.0142247941188043,NA,0.00423717271623957,NA,NA,0.0284495882376085,0.117127560084622,NA,NA,NA,0.138918734053854,27.6030616599427,0.0926124893692363,0.00332920713418823,NA,NA,0.024212415521369,0.000302655194017112,0.129839078233341,0.0820195575786374,0.630128113943627,0.143155906770094,1.28688988496076,1.56079283554625,0.384069441207715,0.00181593116410267,0.143761217158128,NA,NA,NA,NA,NA,NA,4.32494272250453,NA,1.13071980484793,NA,3.1252175334207
"Scaffold_36",780418,68.8985902426648,0.484227683113408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0161451939857871,NA,NA,NA,0.161195666937462,NA,0.0189641961102896,3.57936387935696,0.00102509168163728,NA,NA,NA,NA,NA,NA,0.00615055008982366,0.0483074454971567,NA,0.0918738419667409,0.178365952604886,NA,0.106225125509663,0.120191999671971,0.239743317042918,8.07259699289355,0.111606856838258,0.0384409380613979,NA,0.00153763752245591,NA,NA,NA,NA,0.21642248128567,0.192589099687603,1.01355940021886,3.24403076300137,0.426822548941721,0.11852622568931,0.371211325212899,NA,NA,NA,NA,NA,NA,7.19909074367839,NA,1.87860864306051,NA,3.16458615767448
"Scaffold_69",4151351,96.3869593296255,0.126681651346754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000192708349643285,0.0653763076164844,NA,NA,NA,NA,NA,NA,NA,0.0084069017531883,0.00303515650688174,0.0011321615541543,NA,NA,NA,9.63541748216424e-05,NA,0.00361328155581159,0.150432955440289,0.00792513087908009,0.000722656311162318,NA,NA,NA,NA,NA,NA,0.00443229204179555,0.00139713553491381,0.00231250019571942,0.193334651779625,0.049453780227208,NA,0.0063593755382284,NA,NA,0.00554036505224444,NA,NA,NA,2.56311740443051,0.00647981825675545,0.129138682804706,0.0203307308873665,0.263528668137192
"Scaffold_285",965532,69.4941234469702,0.536077519957909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00352137474470033,0.00393565412642978,0.00797487809829193,5.02614102898713,0.0182282927960958,NA,NA,NA,NA,NA,NA,0.0233032152222816,NA,NA,NA,NA,NA,0.0506456544164253,NA,0.0918664528985057,13.0589146708757,0.0380101332736771,0.0591383817418791,NA,NA,NA,NA,NA,NA,0.288234879838265,0.12407667482797,0.426189913954172,1.60232907868408,0.105537672495578,NA,0.038838692037136,NA,NA,NA,NA,NA,NA,4.89305377760654,NA,0.775841712133829,NA,3.33401689431319
"Scaffold_136",201763,71.1978905944103,0.0852485341712802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0158601924039591,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.21949019394042,NA,NA,NA,NA,NA,NA,NA,NA,0.282509677195521,NA,0.0664145556915787,2.085119670108,0.113003870878209,0.299856762637352,0.486214023383871,NA,NA,NA,NA,NA,NA,15.0746172489505,NA,0.746915936023949,NA,4.32685874020509
"Scaffold_282",94910,44.807712569803,0.81234854072279,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.110631124222948,3.70140132757349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.159098092930144,NA,0.074807712569803,31.1663681382362,0.220208618691392,NA,NA,NA,NA,NA,NA,NA,0.379306711621536,NA,1.44031187440733,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.23127173111369,NA,3.18301548835739,NA,8.71351806975029
"Scaffold_361",171566,74.6808808272035,0.783954862851614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7732767564669,0.0332233659349755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0209831784852477,NA,0.0512922140750498,14.1094389331219,NA,NA,NA,NA,NA,NA,NA,NA,0.746068568364361,0.081601249664852,0.318244873692923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.46825128521968,NA,0.459881328468345,NA,1.47290255645058
"Scaffold_110",225761,40.6017868453807,0.45712058327169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0279056170020508,NA,NA,NA,0.024362046589092,0.0292344559069104,0.220144311905068,8.6449829687147,0.195782265315976,NA,NA,NA,NA,0.0190466909696538,NA,NA,0.0101877649372567,NA,NA,NA,NA,0.250264660415218,NA,0.157245937075048,23.6573190232148,0.000442946301619855,NA,NA,NA,NA,NA,NA,NA,0.177621466949562,0.2431775195893,2.94869352988337,9.09634525006534,0.0965622937531283,0.326451424293833,0.33398151142137,NA,NA,NA,NA,NA,NA,4.25184154924898,NA,1.53835250552575,NA,6.69114683226952
